Display Warehouse Stocks of Material (For Monthly Count) October 2025,,,,,,,,,,,,,,,,,,
No.,material,Material Description,Plant,Batch,B.Un,เบิก,,สต๊อกใหญ่,,,,,Exp.สต๊อกใหญ่,Exp.สต๊อกเล็ก,สต๊อกเล็ก,,,ราคา
,,,,,,วันที่,จำนวน,เดิม,รับเข้า,ออก,คงเหลือ,ระบบ,,,เดิม,รับเข้า,คงเหลือ,(บาท)
1,10100005,กรรไกรตัดกระดาษ ขนาด 7 นิ้ว,1030,MAT_BUY,EA,,,6,0,0,6,6,,คต,1,0,1,
2,10100008,กรอบแผ่นใสขนาด A4,1030,MAT_BUY,EA,,,6,0,0,6,6,,คต,2,0,2,
3,10100053,กระดาษการ์ด 120 แกรม A4 ไม่ระบุสี,1030,MAT_BUY,EA,,,400,0,0,400,400,,,150,0,150,
4,10100229,กระดาษถ่ายเอกสาร 80 แกรม A3,1030,MAT_BUY,RM,,,1,0,0,1,1,,,1,0,1,
5,10100231,กระดาษถ่ายเอกสาร 80 แกรม A4,1030,MAT_BUY,RM,,,10,0,0,10,10,,คต,15,0,15,
6,10100246,กระดาษถ่ายเอกสารสี 80 แกรม A4 ไม่ระบุสี,1030,MAT_BUY,RM,,,4,0,0,4,4,,คต(สีส้ม),3,0,3,
7,10100249,กระดาษถ่ายเอกสารสี 80 แกรม A4 -LGR,1030,MAT_BUY,RM,,,5,0,0,5,5,,คต,1,0,1,
8,10100250,กระดาษถ่ายเอกสารสี 80 แกรม A4 -LPK,1030,MAT_BUY,RM,,,4,0,0,4,4,,คต,1,0,1,
9,10100251,กระดาษถ่ายเอกสารสี 80 แกรม A4 -LYW,1030,MAT_BUY,RM,,,2,0,0,2,2,,คต,1,0,1,
10,10100497,กล่องใส่เอกสารตัดเฉียง,1030,MAT_BUY,BOX,,,6,0,0,6,6,,,12,0,12,
11,10100535,คลิปบอร์ด ขนาด A4 -99 แบบไม่มีปกปิด,1030,MAT_BUY,EA,,,12,0,0,12,12,,,6,0,6,
12,10100556,เครื่องเหลาดินสอขนาดใหญ่,10300,MAT_BUY,EA,,,0,0,0,0,0,,,2,0,2,
13,10100541,เครื่องคำนวณเลขชนิดใช้แบตเตอรี่ 10 หลัก,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
14,10100615,ซองจดหมายสีขาว DL-80 แกรม พิมพ์ตรา,1030,MAT_BUY,EA,,,500,0,0,500,500,,คต (1:500),700,0,700,
15,10100628,ซองพลาสติกอเนกประสงค์ 11 รู 0.04 mm A4,1030,MAT_BUY,PAC,,,7,0,0,7,7,,,1,0,1,
16,10100645,ซองมาตราฐานขยายข้าง C4-BR มีตรา1สี,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
17,10100669,ซองเอกสารขยายข้าง ขนาดใหญ่-BR มีตรา,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
18,10100686,ซองเอกสารไม่ขยายข้าง ขนาดใหญ่ BR มีตรา,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
19,10100710,ด้ายชนิดเชือกขาวกลุ่มใหญ่,1030,MAT_BUY,ROL,,,1,0,0,1,1,,คต,1,0,1,
20,10100717,ดินสอดำชนิด HB,1030,MAT_BUY,EA,,,12,0,0,12,12,,คต,11,0,11,
21,10100755,ตรายางวันที่ภาษาไทย,1030,MAT_BUY,EA,,,2,0,0,2,2,,,0,0,0,
22,10100770,ตะแกรงเอกสารแบบลวดเคลือบ 3 ชั้น,1030,MAT_BUY,EA,,,0,0,0,0,0,,,1,0,1,
